DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
23-Aug-2025,7,30,38,42,54,59,5,3,Lotto 2,3096
27-Aug-2025,5,25,43,45,47,55,58,4,Lotto 2,3097
30-Aug-2025,6,10,19,20,43,59,16,4,Lotto 2,3098
03-Sep-2025,7,15,18,22,31,54,28,1,Lotto 2,3099
06-Sep-2025,10,22,37,40,45,57,24,1,Lotto 2,3100
10-Sep-2025,1,9,18,27,38,42,13,2,Lotto 2,3101
13-Sep-2025,1,26,36,49,53,54,10,2,Lotto 2,3102
17-Sep-2025,7,9,18,24,30,36,42,3,Lotto 2,3103
20-Sep-2025,13,16,30,36,53,59,22,3,Lotto 2,3104
24-Sep-2025,3,16,23,30,38,47,25,L4,Lotto2,3105
27-Sep-2025,15,23,24,28,37,41,59,L4,Lotto2,3106
01-Oct-2025,13,28,31,39,51,59,27,L1,Lotto2,3107
04-Oct-2025,6,8,12,33,49,59,42,L1,Lotto2,3108
08-Oct-2025,2,21,42,48,56,57,51,L5,Lotto2,3109
11-Oct-2025,11,17,25,31,51,54,53,,,3110
15-Oct-2025,29,33,36,38,48,58,52,L6,Lotto2,3111
18-Oct-2025,6,39,43,52,58,59,19,L6,Lotto2,3112
22-Oct-2025,3,24,26,34,35,36,9,L9,Lotto1,3113
25-Oct-2025,4,9,28,40,42,59,55,L9,Lotto1,3114
29-Oct-2025,9,24,30,33,35,54,32,L10,Lotto2,3115
01-Nov-2025,17,18,31,36,39,51,29,L10,Lotto2,3116
05-Nov-2025,2,15,20,42,43,59,16,L9,Lotto2,3117
08-Nov-2025,2,3,42,45,46,47,44,L9,Lotto2,3118
12-Nov-2025,9,17,31,34,54,57,7,L6,Lotto2,3119
15-Nov-2025,9,11,27,44,48,52,25,L6,Lotto2,3120
19-Nov-2025,15,18,36,50,51,57,10,L9,Lotto2,3121
22-Nov-2025,9,11,14,43,49,59,35,L9,Lotto2,3122
26-Nov-2025,10,21,49,54,55,56,40,L10,Lotto2,3123
29-Nov-2025,2,6,9,16,38,48,46,L10,Lotto2,3124
03-Dec-2025,6,13,19,48,57,58,1,L5,Lotto2,3125
06-Dec-2025,5,7,10,17,32,42,40,L5,Lotto2,3126
10-Dec-2025,4,9,26,35,42,46,38,L6,Lotto2,3127
13-Dec-2025,18,22,24,41,53,56,59,L6,Lotto2,3128
17-Dec-2025,15,20,43,50,51,58,36,L9,Lotto2,3129
20-Dec-2025,2,25,27,34,45,52,47,L9,Lotto2,3130
24-Dec-2025,12,15,16,35,38,48,49,L10,Lotto2,3131
27-Dec-2025,20,36,40,43,51,55,21,L10,Lotto2,3132
31-Dec-2025,3,20,27,29,38,46,14,L5,Lotto2,3133
03-Jan-2026,6,20,34,38,47,48,4,L5,Lotto2,3134
07-Jan-2026,3,9,20,33,45,50,12,L1,Arthur,3135
10-Jan-2026,5,6,13,18,22,53,9,L1,Arthur,3136
14-Jan-2026,2,5,22,35,44,54,23,L9,Lotto2,3137
17-Jan-2026,12,26,30,32,39,58,4,L9,Lotto2,3138
21-Jan-2026,5,24,28,46,49,56,19,L10,Lotto2,3139
24-Jan-2026,1,4,8,23,34,57,29,L10,Lotto2,3140
28-Jan-2026,33,45,50,52,58,59,15,L5,Lotto2,3141
31-Jan-2026,7,8,17,25,37,40,11,L5,Lotto2,3142
04-Feb-2026,1,2,19,29,51,57,5,L6,Lotto2,3143
07-Feb-2026,7,25,27,46,52,59,40,L6,Lotto2,3144
11-Feb-2026,5,11,28,30,47,53,52,L9,Lotto2,3145
14-Feb-2026,10,13,27,50,54,56,14,L9,Lotto2,3146
18-Feb-2026,1,11,12,13,18,49,33,L10,Lotto4,3147
21-Feb-2026,2,14,24,33,37,40,19,L10,Lotto4,3148
25-Feb-2026,31,34,36,41,54,57,27,L5,Lotto4,3149
28-Feb-2026,12,15,22,28,31,32,23,L5,Lotto4,3150
04-Mar-2026,20,33,43,46,50,56,45,L6,Lotto5,3151
07-Mar-2026,9,37,39,40,47,51,19,L6,Lotto5,3152
11-Mar-2026,2,3,18,25,40,54,14,L9,Lotto5,3153
14-Mar-2026,10,30,36,44,45,58,59,L9,Lotto5,3154
18-Mar-2026,14,16,18,22,47,56,54,L5,Lotto4,3155
21-Mar-2026,5,10,18,28,34,53,46,L5,Lotto4,3156
